"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","ausfall_grund"
141,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,920,"1",Bus - Überland/Berg,8,Status Unbekannt Teilstrecke
142,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,875,"1",Bus - Überland/Berg,10,Ausfall ganze Fahrt
143,asm, Aare Seeland mobil AG,Bus Aare Seeland,873,"1",Bus - Überland/Berg,12,Status Unbekannt
144,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,872,"3",Bahn - Überland/Berg,3,Ausfall ganze Fahrt
145,AVA, Aargau Verkehr AG,Bus Aargau,821,"1",Bus - Überland/Berg,6,Status Unbekannt Teilstrecke
146,SBW, Stadt Winterthur,Bus Winterthur,810,"1",Bus - Überland/Berg,4,Status Unbekannt Teilstrecke
147,ARAG, Rottal Auto AG,Bus Rottal,809,"1",Bus - Überland/Berg,7,Ausfall ganze Fahrt
148,BRER, O. Schneider AG,Bus Schneider,809,"1",Bus - Überland/Berg,3,Keine Daten
149,AAGU, AUTO AG URI,Bus Uri,782,"1",Bus - Überland/Berg,9,Ausfall ganze Fahrt
150,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,776,"3",Bahn - Überland/Berg,1,Ausfall ganze Fahrt
151,TSD, Theytaz Excursions SA,Theytaz,756,"1",Bus - Überland/Berg,2,Keine Daten
152,ABl, Autolinee Bleniesi SA,Bus Bleniesi,755,"1",Bus - Überland/Berg,5,Keine Daten
153,TPF, Transports publics fribourgeois SA,Bus Fribourg,754,"1",Bus - Überland/Berg,6,Status Unbekannt
154,TPF, Transports publics fribourgeois SA,Bus Fribourg,744,"1",Bus - Überland/Berg,15,Keine Daten Teilstrecke
155,VB, Verkehrsbetriebe Biel,Bus Biel,740,"1",Bus - Überland/Berg,11,Ausfall ganze Fahrt
156,AAGR, Auto AG Rothenburg,Bus Rothenburg,723,"2",Bus - Agglomeration,4,Ausfall ganze Fahrt
