"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","tag"
185,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,2070,"1",Bus - Überland/Berg,9,Freitag
186,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,2061,"1",Bus - Überland/Berg,4,Freitag
187,TPF, Transports publics fribourgeois SA,Bus Fribourg,2053,"1",Bus - Überland/Berg,58,Mittwoch
188,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,2044,"1",Bus - Überland/Berg,1,Dienstag
189,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,2031,"1",Bus - Überland/Berg,4,Montag
190,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,2030,"4",Bahn - Überland/Regionalverkehr,26,Sonntag
191,BuS, Bus und Service AG,BuS AG,2020,"1",Bus - Überland/Berg,4,Donnerstag
192,AAGS, Auto AG Schwyz,Bus Schwyz,2008,"1",Bus - Überland/Berg,11,Dienstag
193,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,2003,"1",Bus - Überland/Berg,1,Donnerstag
194,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,1993,"1",Bus - Überland/Berg,1,Freitag
195,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1988,"1",Bus - Überland/Berg,4,Dienstag
196,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,1981,"2",Bus - Agglomeration,13,Freitag
197,BuS, Bus und Service AG,BuS AG,1978,"1",Bus - Überland/Berg,4,Dienstag
198,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,1972,"1",Bus - Überland/Berg,1,Montag
199,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1967,"1",Bus - Überland/Berg,24,Donnerstag
200,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,1962,"1",Bus - Überland/Berg,1,Mittwoch
201,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,1958,"1",Bus - Überland/Berg,16,Samstag
202,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1952,"1",Bus - Überland/Berg,8,Dienstag
203,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1921,"1",Bus - Überland/Berg,7,Montag
204,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1920,"1",Bus - Überland/Berg,24,Sonntag
205,VBSG, Stadt St. Gallen,Bus St.Gallen,1914,"2",Bus - Agglomeration,15,Mittwoch
206,TPC, Transports Publics du Chablais SA,Bus Chablais ,1905,"1",Bus - Überland/Berg,10,Dienstag
207,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1903,"1",Bus - Überland/Berg,17,Sonntag
208,AVA, Aargau Verkehr AG,Bus Aargau,1893,"1",Bus - Überland/Berg,12,Dienstag
209,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,1889,"2",Bus - Agglomeration,20,Samstag
210,RA, REGIONALPS SA ,Regionalps,1880,"4",Bahn - Überland/Regionalverkehr,4,Dienstag
211,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,1865,"4",Bahn - Überland/Regionalverkehr,31,Donnerstag
212,AVA, Aargau Verkehr AG,Bus Aargau,1863,"1",Bus - Überland/Berg,12,Montag
213,VBSG, Stadt St. Gallen,Bus St.Gallen,1833,"2",Bus - Agglomeration,15,Freitag
214,VB, Verkehrsbetriebe Biel,Bus Biel,1827,"1",Bus - Überland/Berg,11,Donnerstag
215,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1820,"1",Bus - Überland/Berg,8,Donnerstag
216,AAGR, Auto AG Rothenburg,Bus Rothenburg,1801,"2",Bus - Agglomeration,4,Donnerstag
217,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,1794,"1",Bus - Überland/Berg,2,Samstag
218,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1791,"1",Bus - Überland/Berg,22,Montag
219,AVA, Aargau Verkehr AG,Bus Aargau,1775,"1",Bus - Überland/Berg,12,Donnerstag
220,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1774,"2",Bus - Agglomeration,2,Donnerstag
221,TPF, Transports publics fribourgeois SA,Bus Fribourg,1743,"1",Bus - Überland/Berg,46,Samstag
222,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1741,"1",Bus - Überland/Berg,7,Dienstag
223,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1741,"3",Bahn - Überland/Berg,1,Montag
224,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1738,"1",Bus - Überland/Berg,8,Mittwoch
225,AAGS, Auto AG Schwyz,Bus Schwyz,1709,"1",Bus - Überland/Berg,11,Donnerstag
226,BuS, Bus und Service AG,BuS AG,1700,"1",Bus - Überland/Berg,4,Mittwoch
227,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,1695,"3",Bahn - Überland/Berg,1,Dienstag
228,TPC, Transports Publics du Chablais SA,Bus Chablais ,1690,"1",Bus - Überland/Berg,10,Donnerstag
229,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1682,"2",Bus - Agglomeration,3,Dienstag
230,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1682,"1",Bus - Überland/Berg,24,Freitag
231,BuS, Bus und Service AG,BuS AG,1666,"1",Bus - Überland/Berg,4,Montag
232,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1664,"2",Bus - Agglomeration,2,Dienstag
233,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,1663,"1",Bus - Überland/Berg,8,Sonntag
234,BuS, Bus und Service AG,BuS AG,1646,"1",Bus - Überland/Berg,4,Freitag
235,AAGR, Auto AG Rothenburg,Bus Rothenburg,1643,"2",Bus - Agglomeration,4,Samstag
236,RA, REGIONALPS SA ,Regionalps,1640,"4",Bahn - Überland/Regionalverkehr,4,Donnerstag
237,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,1633,"1",Bus - Überland/Berg,4,Samstag
