"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_halte"
157,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,1653,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
158,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1641,"1",Bus - Überland/Berg,2,"22-39 Haltestellen"
159,TPF, Transports publics fribourgeois SA,Bus Fribourg,1594,"1",Bus - Überland/Berg,22,"1-2 Haltestellen"
160,RA, REGIONALPS SA ,Regionalps,1590,"4",Bahn - Überland/Regionalverkehr,3,"14-21 Haltestellen"
161,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1577,"1",Bus - Überland/Berg,15,"22-39 Haltestellen"
162,RA, REGIONALPS SA ,Regionalps,1547,"4",Bahn - Überland/Regionalverkehr,3,"22-39 Haltestellen"
163,VBZ, Stadt Zürich,Bus Zürich,1544,"1",Bus - Überland/Berg,18,"1-2 Haltestellen"
164,AAGU, AUTO AG URI,Bus Uri,1513,"1",Bus - Überland/Berg,7,"14-21 Haltestellen"
165,BuS, Bus und Service AG,BuS AG,1508,"1",Bus - Überland/Berg,4,"7-13 Haltestellen"
166,ARAG, Rottal Auto AG,Bus Rottal,1506,"1",Bus - Überland/Berg,4,"22-39 Haltestellen"
167,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1498,"2",Bus - Agglomeration,2,"3-6 Haltestellen"
168,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1470,"1",Bus - Überland/Berg,24,"3-6 Haltestellen"
169,VBSG, Stadt St. Gallen,Bus St.Gallen,1446,"2",Bus - Agglomeration,10,"7-13 Haltestellen"
170,AS, Autobetrieb Sernftal AG,Bus Sernftal,1419,"1",Bus - Überland/Berg,2,"7-13 Haltestellen"
171,TPC, Transports Publics du Chablais SA,Bus Chablais ,1376,"1",Bus - Überland/Berg,4,"22-39 Haltestellen"
172,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,1372,"1",Bus - Überland/Berg,24,"1-2 Haltestellen"
173,AVA, Aargau Verkehr AG,Bus Aargau,1306,"1",Bus - Überland/Berg,12,"7-13 Haltestellen"
174,THURBO, Thurbo AG,Thurbo,1276,"4",Bahn - Überland/Regionalverkehr,7,"14-21 Haltestellen"
175,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,1270,"3",Bahn - Überland/Berg,3,"14-21 Haltestellen"
176,ARAG, Rottal Auto AG,Bus Rottal,1226,"1",Bus - Überland/Berg,4,"14-21 Haltestellen"
177,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,1209,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
