"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_minuten"
240,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,270,"4",Bus - Überland/Berg,2,"15-30 Minuten"
241,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,269,"4",Bahn - Überland/Regionalverkehr,9,"30-60 Minuten"
242,VMCV, VMCV SA,Bus Montreux,264,"1",Bus - Überland/Berg,3,unbekannt
243,ABl, Autolinee Bleniesi SA,Bus Bleniesi,258,"1",Bus - Überland/Berg,1,"30-60 Minuten"
244,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,258,"1",Bus - Überland/Berg,4,Unter 5 Minuten
245,AVA, Aargau Verkehr AG,Bus Aargau,256,"1",Bus - Überland/Berg,6,Unter 5 Minuten
246,BCS, Commune de Sion,Bus Sion,253,"1",Bus - Überland/Berg,4,Unter 5 Minuten
247,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,242,"2",Bus - Agglomeration,2,"30-60 Minuten"
248,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,230,"1",Bus - Überland/Berg,4,"15-30 Minuten"
249,zb, zb Zentralbahn AG,Zentralbahn,226,"3",Bahn - Überland/Berg,6,"30-60 Minuten"
250,AAGR, Auto AG Rothenburg,Bus Rothenburg,225,"2",Bus - Agglomeration,4,Unter 5 Minuten
251,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,223,"2",Bus - Agglomeration,2,Unter 5 Minuten
252,SOB, Schweizerische Südostbahn AG,Südostbahn,222,"4",Bahn - Überland/Regionalverkehr,6,"15-30 Minuten"
253,SBW, Stadt Winterthur,Bus Winterthur,209,"1",Bus - Überland/Berg,3,Unter 5 Minuten
254,BuS, Bus und Service AG,BuS AG,205,"1",Bus - Überland/Berg,1,"60+ Minuten"
255,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,203,"1",Bus - Überland/Berg,3,"15-30 Minuten"
256,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,200,"4",Bahn - Überland/Regionalverkehr,28,unbekannt
